name,node_id,lat,lon,arabiensis,funestus,gambiae,darlingi,minimus,maculatus
aba,1475161276,5.43,7.58,0.1408577412366867,0.40230056643486023,0.45684170722961426,0.0,0.0,0.0
kasama,1660888423,-10.21,31.1957,0.13186408579349518,0.23228786885738373,0.6358480453491211,0.0,0.0,0.0
djibo,1402613965,14.1,-1.65,0.8397423624992371,0.16025765240192413,0.0,0.0,0.0,0.0
kananga,1585194826,-6.188,21.57,0.0,0.0011006270069628954,0.9988994002342224,0.0,0.0,0.0
moine,1671175813,-24.896,32.5,0.9218304753303528,0.07816949486732483,0.0,0.0,0.0,0.0
gode,1758473462,5.91,43.6,1.0,0.0,0.0,0.0,0.0,0.0
karen,2186687066,17.4116,98.0511,0.0,0.0,0.0,0.0,0.6,0.4
bajonapo,820652505,-0.7292,-75.6459,0.0,0.0,0.0,1.0,0.0,0.0
