"Site_Name","Run_Number","x_Temporary_Larval_Habitat","final_prev","ACT_Coverage","IRS_Coverage","ITN_Coverage","Intervention","initial_prev","mean_initial","mean_final"
"aba","0",0.000177827941003892,0,0,0,0,"None",0,0,0
"aba","0",0.000316227766016838,0,0,0,0,"None",0,0,0
"aba","0",0.000562341325190349,0,0,0,0,"None",0,0,0
"aba","0",0.001,0,0,0,0,"None",0,0,0
"aba","0",0.00177827941003892,0,0,0,0,"None",0,0,0
"aba","0",0.00316227766016838,0,0,0,0,"None",0,0,0
"aba","0",0.00562341325190349,0,0,0,0,"None",0,0,0
"aba","0",0.01,0,0,0,0,"None",0,0,0
"aba","0",0.0125892541179417,0,0,0,0,"None",0,0,0
"aba","0",0.0158489319246111,0,0,0,0,"None",0,0,0
"aba","0",0.0199526231496888,0,0,0,0,"None",0,0,0
"aba","0",0.0251188643150958,0,0,0,0,"None",0,0,0
"aba","0",0.0316227766016838,0,0,0,0,"None",0,0,0
"aba","0",0.0398107170553498,0,0,0,0,"None",0,0,0
"aba","0",0.0501187233627273,0,0,0,0,"None",0,0,0
"aba","0",0.0630957344480194,0,0,0,0,"None",0,0,0
"aba","0",0.0794328234724283,0,0,0,0,"None",0,0,0
"aba","0",0.1,0,0,0,0,"None",0,0.0061557500430037,0
"aba","0",0.125892541179417,0,0,0,0,"None",0.1157805338761,0.047582737692952,0
"aba","0",0.158489319246112,0,0,0,0,"None",0.06720080195102,0.086966432192099,0
"aba","0",0.199526231496889,0,0,0,0,"None",0.1194166766149,0.14170628097983,0
"aba","0",0.251188643150959,0,0,0,0,"None",0.1828349136883,0.22900801251464,0.20466141460023
"aba","0",0.316227766016839,0.3535169425562,0,0,0,"None",0.3112890385994,0.2840760769848,0.30752845369166
"aba","0",0.398107170553499,0.3794687118213,0,0,0,"None",0.4028276184039,0.37599400309322,0.36408480363463
"aba","0",0.501187233627274,0.3923995856227,0,0,0,"None",0.4953645505971,0.44443069420044,0.4041840238618
"aba","0",0.630957344480196,0.4392614930463,0,0,0,"None",0.5466891868602,0.52667392394015,0.44087381582297
"aba","0",0.794328234724285,0.5048893317202,0,0,0,"None",0.5947680257757,0.58194218804435,0.50414476439895
"aba","0",1,0.5526408755585,0,0,0,"None",0.6259049847274,0.6369536752147,0.54189978173165
"aba","0",1.25892541179417,0.5983411198705,0,0,0,"None",0.6891739727543,0.69234829542021,0.57543118826744
"aba","0",1.58489319246112,0.620085023445,0,0,0,"None",0.7279261318923,0.72930360725071,0.60315073256479
"aba","0",1.99526231496889,0.6532759230102,0,0,0,"None",0.7619400246402,0.7650158460779,0.6368151594645
"aba","0",2.51188643150959,0.6716036772217,0,0,0,"None",0.802719677866,0.7921148480229,0.6759517481775
"aba","0",3.1622776601684,0.6867436205595,0,0,0,"None",0.7914805703504,0.80282585519711,0.692897370839
"aba","0",3.98107170553499,0.7109298412466,0,0,0,"None",0.8198741874332,0.81862894473528,0.71686301997258
"aba","0",5.01187233627275,0.7575751461221,0,0,0,"None",0.8284871363766,0.82831628238479,0.74165821995247
"aba","0",6.30957344480197,0.7697869442285,0,0,0,"None",0.8354498976776,0.83586470512048,0.75696154196078
"aba","0",7.94328234724286,0.7732935068806,0,0,0,"None",0.8330321824486,0.83850117954976,0.76674443412065
"aba","0",10.0000000000001,0.7915951480038,0,0,0,"None",0.8435110483854,0.84552425476211,0.78348932512534
"aba","0",12.5892541179418,0.7784073882366,0,0,0,"None",0.8499371166399,0.84960878302382,0.79120543224035
"aba","0",15.8489319246112,0.805830355999,0,0,0,"None",0.850750790555,0.85036798764989,0.80383991208874
"aba","0",19.9526231496889,0.8103959023451,0,0,0,"None",0.8569143560811,0.85124643671216,0.81426933846755
"aba","0",25.118864315096,0.825960925271,0,0,0,"None",0.8536119756555,0.8531071805492,0.82132903520788
"aba","0",31.622776601684,0.8220838263686,0,0,0,"None",0.8522971081269,0.85235533168413,0.82591188709653
"aba","0",39.81071705535,0.836408014619,0,0,0,"None",0.8509013117305,0.85373308029364,0.83193975746575
"aba","0",50.1187233627276,0.8349654324496,0,0,0,"None",0.8548048298695,0.85406305524411,0.83591976982232
"aba","0",63.0957344480198,0.8409537872291,0,0,0,"None",0.8551955336412,0.85425569792551,0.8403323170855
"aba","0",79.4328234724288,0.8437417445977,0,0,0,"None",0.8592131634641,0.85601776197758,0.8423858258197
"aba","0",100.000000000001,0.8493328625117,0,0,0,"None",0.8566933263406,0.85593511867084,0.84327574857246
"aba","0",125.892541179418,0.8475732440256,0,0,0,"None",0.8647591305711,0.85916618239552,0.84964867384848
"aba","0",158.489319246113,0.8511094223884,0,0,0,"None",0.8593635369517,0.85861505736163,0.84982165908021
"aba","1",0.000177827941003892,0,0,0,0,"None",0,0,0
"aba","1",0.000316227766016838,0,0,0,0,"None",0,0,0
"aba","1",0.000562341325190349,0,0,0,0,"None",0,0,0
"aba","1",0.001,0,0,0,0,"None",0,0,0
"aba","1",0.00177827941003892,0,0,0,0,"None",0,0,0
"aba","1",0.00316227766016838,0,0,0,0,"None",0,0,0
"aba","1",0.00562341325190349,0,0,0,0,"None",0,0,0
"aba","1",0.01,0,0,0,0,"None",0,0,0
"aba","1",0.0125892541179417,0,0,0,0,"None",0,0,0
"aba","1",0.0158489319246111,0,0,0,0,"None",0,0,0
"aba","1",0.0199526231496888,0,0,0,0,"None",0,0,0
"aba","1",0.0251188643150958,0,0,0,0,"None",0,0,0
"aba","1",0.0316227766016838,0,0,0,0,"None",0,0,0
"aba","1",0.0398107170553498,0,0,0,0,"None",0,0,0
"aba","1",0.0501187233627273,0,0,0,0,"None",0,0,0
"aba","1",0.0630957344480194,0,0,0,0,"None",0,0,0
"aba","1",0.0794328234724283,0,0,0,0,"None",0,0,0
"aba","1",0.1,0,0,0,0,"None",0,0.0061557500430037,0
"aba","1",0.125892541179417,0,0,0,0,"None",0.03791375892687,0.047582737692952,0
"aba","1",0.158489319246112,0,0,0,0,"None",0.0865695374512,0.086966432192099,0
"aba","1",0.199526231496889,0,0,0,0,"None",0.08693754940711,0.14170628097983,0
"aba","1",0.251188643150959,0,0,0,0,"None",0.3088348234339,0.22900801251464,0.20466141460023
"aba","1",0.316227766016839,0.2392891769667,0,0,0,"None",0.244668136644,0.2840760769848,0.30752845369166
"aba","1",0.398107170553499,0.3528928850665,0,0,0,"None",0.3645141988597,0.37599400309322,0.36408480363463
"aba","1",0.501187233627274,0.4281069042316,0,0,0,"None",0.4707837574628,0.44443069420044,0.4041840238618
"aba","1",0.630957344480196,0.4255944922911,0,0,0,"None",0.4896753823512,0.52667392394015,0.44087381582297
"aba","1",0.794328234724285,0.5118329114273,0,0,0,"None",0.5906067163581,0.58194218804435,0.50414476439895
"aba","1",1,0.5589316213755,0,0,0,"None",0.656247552411,0.6369536752147,0.54189978173165
"aba","1",1.25892541179417,0.5958192506888,0,0,0,"None",0.6743475676008,0.69234829542021,0.57543118826744
"aba","1",1.58489319246112,0.5987419635978,0,0,0,"None",0.7200993933306,0.72930360725071,0.60315073256479
"aba","1",1.99526231496889,0.6184651847596,0,0,0,"None",0.7692744679452,0.7650158460779,0.6368151594645
"aba","1",2.51188643150959,0.6614336629489,0,0,0,"None",0.8003603401411,0.7921148480229,0.6759517481775
"aba","1",3.1622776601684,0.7134518261478,0,0,0,"None",0.8006462444958,0.80282585519711,0.692897370839
"aba","1",3.98107170553499,0.7225444837371,0,0,0,"None",0.8220735030426,0.81862894473528,0.71686301997258
"aba","1",5.01187233627275,0.7162799720111,0,0,0,"None",0.8299079065588,0.82831628238479,0.74165821995247
"aba","1",6.30957344480197,0.7660174140621,0,0,0,"None",0.8335171844283,0.83586470512048,0.75696154196078
"aba","1",7.94328234724286,0.7740710797788,0,0,0,"None",0.8358107043437,0.83850117954976,0.76674443412065
"aba","1",10.0000000000001,0.780813687538,0,0,0,"None",0.8413836757975,0.84552425476211,0.78348932512534
"aba","1",12.5892541179418,0.8024987512411,0,0,0,"None",0.8430552773883,0.84960878302382,0.79120543224035
"aba","1",15.8489319246112,0.8090683373643,0,0,0,"None",0.8492570182081,0.85036798764989,0.80383991208874
"aba","1",19.9526231496889,0.818378400091,0,0,0,"None",0.8555851116494,0.85124643671216,0.81426933846755
"aba","1",25.118864315096,0.81727020944,0,0,0,"None",0.8534750559431,0.8531071805492,0.82132903520788
"aba","1",31.622776601684,0.8225790306112,0,0,0,"None",0.8532140281599,0.85235533168413,0.82591188709653
"aba","1",39.81071705535,0.8324087065093,0,0,0,"None",0.8506090808416,0.85373308029364,0.83193975746575
"aba","1",50.1187233627276,0.8359326691858,0,0,0,"None",0.8560914679721,0.85406305524411,0.83591976982232
"aba","1",63.0957344480198,0.8397892798566,0,0,0,"None",0.8525114155251,0.85425569792551,0.8403323170855
"aba","1",79.4328234724288,0.842742572568,0,0,0,"None",0.8500952878714,0.85601776197758,0.8423858258197
"aba","1",100.000000000001,0.8461694710908,0,0,0,"None",0.8494743253621,0.85593511867084,0.84327574857246
"aba","1",125.892541179418,0.8548131780091,0,0,0,"None",0.8573331557213,0.85916618239552,0.84964867384848
"aba","1",158.489319246113,0.8482529182131,0,0,0,"None",0.8592795518135,0.85861505736163,0.84982165908021
"aba","2",0.000177827941003892,0,0,0,0,"None",0,0,0
"aba","2",0.000316227766016838,0,0,0,0,"None",0,0,0
"aba","2",0.000562341325190349,0,0,0,0,"None",0,0,0
"aba","2",0.001,0,0,0,0,"None",0,0,0
"aba","2",0.00177827941003892,0,0,0,0,"None",0,0,0
"aba","2",0.00316227766016838,0,0,0,0,"None",0,0,0
"aba","2",0.00562341325190349,0,0,0,0,"None",0,0,0
"aba","2",0.01,0,0,0,0,"None",0,0,0
"aba","2",0.0125892541179417,0,0,0,0,"None",0,0,0
"aba","2",0.0158489319246111,0,0,0,0,"None",0,0,0
"aba","2",0.0199526231496888,0,0,0,0,"None",0,0,0
"aba","2",0.0251188643150958,0,0,0,0,"None",0,0,0
"aba","2",0.0316227766016838,0,0,0,0,"None",0,0,0
"aba","2",0.0398107170553498,0,0,0,0,"None",0,0,0
"aba","2",0.0501187233627273,0,0,0,0,"None",0,0,0
"aba","2",0.0630957344480194,0,0,0,0,"None",0,0,0
"aba","2",0.0794328234724283,0,0,0,0,"None",0,0,0
"aba","2",0.1,0,0,0,0,"None",0.04476205119292,0.0061557500430037,0
"aba","2",0.125892541179417,0,0,0,0,"None",0.09051107752574,0.047582737692952,0
"aba","2",0.158489319246112,0,0,0,0,"None",0.1059240655931,0.086966432192099,0
"aba","2",0.199526231496889,0,0,0,0,"None",0.1773629914834,0.14170628097983,0
"aba","2",0.251188643150959,0.2791081639776,0,0,0,"None",0.2107349241961,0.22900801251464,0.20466141460023
"aba","2",0.316227766016839,0.2890864666757,0,0,0,"None",0.2937240619971,0.2840760769848,0.30752845369166
"aba","2",0.398107170553499,0.2958290148556,0,0,0,"None",0.3722215846054,0.37599400309322,0.36408480363463
"aba","2",0.501187233627274,0.3710701884177,0,0,0,"None",0.4412953678302,0.44443069420044,0.4041840238618
