"Site_Name","Run_Number","x_Temporary_Larval_Habitat","final_prev","ITN_Coverage","IRS_Coverage","ACT_Coverage","Intervention","initial_prev","mean_initial","mean_final"
"aba","0",0.000177827941003892,0,0,0,0,"None",0,0,0
"aba","0",0.000316227766016838,0,0,0,0,"None",0,0,0
"aba","0",0.000562341325190349,0,0,0,0,"None",0,0,0
"aba","0",0.001,0,0,0,0,"None",0,0,0
"aba","0",0.00177827941003892,0,0,0,0,"None",0,0,0
"aba","0",0.00316227766016838,0,0,0,0,"None",0,0,0
"aba","0",0.00562341325190349,0,0,0,0,"None",0,0,0
"aba","0",0.01,0,0,0,0,"None",0,0,0
"aba","0",0.0125892541179417,0,0,0,0,"None",0,0,0
"aba","0",0.0158489319246111,0,0,0,0,"None",0,0,0
"aba","0",0.0199526231496888,0,0,0,0,"None",0,0,0
"aba","0",0.0251188643150958,0,0,0,0,"None",0,0,0
"aba","0",0.0316227766016838,0,0,0,0,"None",0,0,0
"aba","0",0.0398107170553498,0,0,0,0,"None",0,0,0
"aba","0",0.0501187233627273,0,0,0,0,"None",0,0,0
"aba","0",0.0630957344480194,0,0,0,0,"None",0,0,0
"aba","0",0.0794328234724283,0,0,0,0,"None",0,0,0
"aba","0",0.1,0,0,0,0,"None",0,0.0061557500430037,0.00054137312190238
"aba","0",0.125892541179417,7.931859227803e-05,0,0,0,"None",0.1157805338761,0.047582737692952,0.0083920395427986
"aba","0",0.158489319246112,0.09499000071192,0,0,0,"None",0.06720080195102,0.086966432192099,0.036638520916496
"aba","0",0.199526231496889,0.07994661815381,0,0,0,"None",0.1194166766149,0.14170628097983,0.091360578035182
"aba","0",0.251188643150959,0.2071595757572,0,0,0,"None",0.1828349136883,0.22900801251464,0.18085314234236
"aba","0",0.316227766016839,0.2274037983494,0,0,0,"None",0.3112890385994,0.2840760769848,0.22717019252195
"aba","0",0.398107170553499,0.335097766783,0,0,0,"None",0.4028276184039,0.37599400309322,0.33376700415027
"aba","0",0.501187233627274,0.4016782940228,0,0,0,"None",0.4953645505971,0.44443069420044,0.41652455675631
"aba","0",0.630957344480196,0.5417033975225,0,0,0,"None",0.5466891868602,0.52667392394015,0.50071981732544
"aba","0",0.794328234724285,0.5812479404524,0,0,0,"None",0.5947680257757,0.58194218804435,0.57376094531624
"aba","0",1,0.6480500327726,0,0,0,"None",0.6259049847274,0.6369536752147,0.64051041650197
"aba","0",1.25892541179417,0.6799882724696,0,0,0,"None",0.6891739727543,0.69234829542021,0.68901734987883
"aba","0",1.58489319246112,0.7665660055001,0,0,0,"None",0.7279261318923,0.72930360725071,0.72917502862013
"aba","0",1.99526231496889,0.7626651801817,0,0,0,"None",0.7619400246402,0.7650158460779,0.76166129064896
"aba","0",2.51188643150959,0.7851684294186,0,0,0,"None",0.802719677866,0.7921148480229,0.786393091768
"aba","0",3.1622776601684,0.8072989854303,0,0,0,"None",0.7914805703504,0.80282585519711,0.80390052336567
"aba","0",3.98107170553499,0.8169488556356,0,0,0,"None",0.8198741874332,0.81862894473528,0.81372363682335
"aba","0",5.01187233627275,0.8220170710952,0,0,0,"None",0.8284871363766,0.82831628238479,0.82472794810515
"aba","0",6.30957344480197,0.8321639955851,0,0,0,"None",0.8354498976776,0.83586470512048,0.83326237154777
"aba","0",7.94328234724286,0.8364847724033,0,0,0,"None",0.8330321824486,0.83850117954976,0.83766886730676
"aba","0",10.0000000000001,0.8377702285361,0,0,0,"None",0.8435110483854,0.84552425476211,0.84172259274781
"aba","0",12.5892541179418,0.8549090621654,0,0,0,"None",0.8499371166399,0.84960878302382,0.84737487618989
"aba","0",15.8489319246112,0.8451474559939,0,0,0,"None",0.850750790555,0.85036798764989,0.84605320678127
"aba","0",19.9526231496889,0.8456935169154,0,0,0,"None",0.8569143560811,0.85124643671216,0.85141757571691
"aba","0",25.118864315096,0.8499413051598,0,0,0,"None",0.8536119756555,0.8531071805492,0.85105964380252
"aba","0",31.622776601684,0.848031556213,0,0,0,"None",0.8522971081269,0.85235533168413,0.85110355901264
"aba","0",39.81071705535,0.8539143952874,0,0,0,"None",0.8509013117305,0.85373308029364,0.8534840136029
"aba","0",50.1187233627276,0.84930286061,0,0,0,"None",0.8548048298695,0.85406305524411,0.85244590365327
"aba","0",63.0957344480198,0.8551625552452,0,0,0,"None",0.8551955336412,0.85425569792551,0.85305123968024
"aba","0",79.4328234724288,0.8526014487372,0,0,0,"None",0.8592131634641,0.85601776197758,0.85384563810167
"aba","0",100.000000000001,0.8583174058117,0,0,0,"None",0.8566933263406,0.85593511867084,0.85676849939862
"aba","0",125.892541179418,0.8554369553573,0,0,0,"None",0.8647591305711,0.85916618239552,0.85505737414164
"aba","0",158.489319246113,0.8569546804713,0,0,0,"None",0.8593635369517,0.85861505736163,0.85854427396316
"aba","1",0.000177827941003892,0,0,0,0,"None",0,0,0
"aba","1",0.000316227766016838,0,0,0,0,"None",0,0,0
"aba","1",0.000562341325190349,0,0,0,0,"None",0,0,0
"aba","1",0.001,0,0,0,0,"None",0,0,0
"aba","1",0.00177827941003892,0,0,0,0,"None",0,0,0
"aba","1",0.00316227766016838,0,0,0,0,"None",0,0,0
"aba","1",0.00562341325190349,0,0,0,0,"None",0,0,0
"aba","1",0.01,0,0,0,0,"None",0,0,0
"aba","1",0.0125892541179417,0,0,0,0,"None",0,0,0
"aba","1",0.0158489319246111,0,0,0,0,"None",0,0,0
"aba","1",0.0199526231496888,0,0,0,0,"None",0,0,0
"aba","1",0.0251188643150958,0,0,0,0,"None",0,0,0
"aba","1",0.0316227766016838,0,0,0,0,"None",0,0,0
"aba","1",0.0398107170553498,0,0,0,0,"None",0,0,0
"aba","1",0.0501187233627273,0,0,0,0,"None",0,0,0
"aba","1",0.0630957344480194,0,0,0,0,"None",0,0,0
"aba","1",0.0794328234724283,0,0,0,0,"None",0,0,0
"aba","1",0.1,0,0,0,0,"None",0,0.0061557500430037,0.00054137312190238
"aba","1",0.125892541179417,0.003010072697398,0,0,0,"None",0.03791375892687,0.047582737692952,0.0083920395427986
"aba","1",0.158489319246112,0.02788494672333,0,0,0,"None",0.0865695374512,0.086966432192099,0.036638520916496
"aba","1",0.199526231496889,0.07676276232663,0,0,0,"None",0.08693754940711,0.14170628097983,0.091360578035182
"aba","1",0.251188643150959,0.1101625112764,0,0,0,"None",0.3088348234339,0.22900801251464,0.18085314234236
"aba","1",0.316227766016839,0.2221367612831,0,0,0,"None",0.244668136644,0.2840760769848,0.22717019252195
"aba","1",0.398107170553499,0.2583105046887,0,0,0,"None",0.3645141988597,0.37599400309322,0.33376700415027
"aba","1",0.501187233627274,0.4125368888002,0,0,0,"None",0.4707837574628,0.44443069420044,0.41652455675631
"aba","1",0.630957344480196,0.5103440982458,0,0,0,"None",0.4896753823512,0.52667392394015,0.50071981732544
"aba","1",0.794328234724285,0.6035553788594,0,0,0,"None",0.5906067163581,0.58194218804435,0.57376094531624
"aba","1",1,0.6288718177639,0,0,0,"None",0.656247552411,0.6369536752147,0.64051041650197
"aba","1",1.25892541179417,0.6971525525772,0,0,0,"None",0.6743475676008,0.69234829542021,0.68901734987883
"aba","1",1.58489319246112,0.7160047461965,0,0,0,"None",0.7200993933306,0.72930360725071,0.72917502862013
"aba","1",1.99526231496889,0.7670113775898,0,0,0,"None",0.7692744679452,0.7650158460779,0.76166129064896
"aba","1",2.51188643150959,0.7971240520818,0,0,0,"None",0.8003603401411,0.7921148480229,0.786393091768
"aba","1",3.1622776601684,0.8020729763964,0,0,0,"None",0.8006462444958,0.80282585519711,0.80390052336567
"aba","1",3.98107170553499,0.8169951642488,0,0,0,"None",0.8220735030426,0.81862894473528,0.81372363682335
"aba","1",5.01187233627275,0.8199296733212,0,0,0,"None",0.8299079065588,0.82831628238479,0.82472794810515
"aba","1",6.30957344480197,0.831056044465,0,0,0,"None",0.8335171844283,0.83586470512048,0.83326237154777
"aba","1",7.94328234724286,0.8382867667548,0,0,0,"None",0.8358107043437,0.83850117954976,0.83766886730676
"aba","1",10.0000000000001,0.8418996211002,0,0,0,"None",0.8413836757975,0.84552425476211,0.84172259274781
"aba","1",12.5892541179418,0.8436524166586,0,0,0,"None",0.8430552773883,0.84960878302382,0.84737487618989
"aba","1",15.8489319246112,0.8496353907258,0,0,0,"None",0.8492570182081,0.85036798764989,0.84605320678127
"aba","1",19.9526231496889,0.8524440323222,0,0,0,"None",0.8555851116494,0.85124643671216,0.85141757571691
"aba","1",25.118864315096,0.8432665159979,0,0,0,"None",0.8534750559431,0.8531071805492,0.85105964380252
"aba","1",31.622776601684,0.8520865602766,0,0,0,"None",0.8532140281599,0.85235533168413,0.85110355901264
"aba","1",39.81071705535,0.8550665202341,0,0,0,"None",0.8506090808416,0.85373308029364,0.8534840136029
"aba","1",50.1187233627276,0.8552383246998,0,0,0,"None",0.8560914679721,0.85406305524411,0.85244590365327
"aba","1",63.0957344480198,0.8587360329209,0,0,0,"None",0.8525114155251,0.85425569792551,0.85305123968024
"aba","1",79.4328234724288,0.8554464255159,0,0,0,"None",0.8500952878714,0.85601776197758,0.85384563810167
"aba","1",100.000000000001,0.8558147121187,0,0,0,"None",0.8494743253621,0.85593511867084,0.85676849939862
"aba","1",125.892541179418,0.852419932749,0,0,0,"None",0.8573331557213,0.85916618239552,0.85505737414164
"aba","1",158.489319246113,0.8602466084897,0,0,0,"None",0.8592795518135,0.85861505736163,0.85854427396316
"aba","2",0.000177827941003892,0,0,0,0,"None",0,0,0
"aba","2",0.000316227766016838,0,0,0,0,"None",0,0,0
"aba","2",0.000562341325190349,0,0,0,0,"None",0,0,0
"aba","2",0.001,0,0,0,0,"None",0,0,0
"aba","2",0.00177827941003892,0,0,0,0,"None",0,0,0
"aba","2",0.00316227766016838,0,0,0,0,"None",0,0,0
"aba","2",0.00562341325190349,0,0,0,0,"None",0,0,0
"aba","2",0.01,0,0,0,0,"None",0,0,0
"aba","2",0.0125892541179417,0,0,0,0,"None",0,0,0
"aba","2",0.0158489319246111,0,0,0,0,"None",0,0,0
"aba","2",0.0199526231496888,0,0,0,0,"None",0,0,0
"aba","2",0.0251188643150958,0,0,0,0,"None",0,0,0
"aba","2",0.0316227766016838,0,0,0,0,"None",0,0,0
"aba","2",0.0398107170553498,0,0,0,0,"None",0,0,0
"aba","2",0.0501187233627273,0,0,0,0,"None",0,0,0
"aba","2",0.0630957344480194,0,0,0,0,"None",0,0,0
"aba","2",0.0794328234724283,0,0,0,0,"None",0,0,0
"aba","2",0.1,0,0,0,0,"None",0.04476205119292,0.0061557500430037,0.00054137312190238
"aba","2",0.125892541179417,0,0,0,0,"None",0.09051107752574,0.047582737692952,0.0083920395427986
"aba","2",0.158489319246112,0.1064209065224,0,0,0,"None",0.1059240655931,0.086966432192099,0.036638520916496
"aba","2",0.199526231496889,0.08408480429777,0,0,0,"None",0.1773629914834,0.14170628097983,0.091360578035182
"aba","2",0.251188643150959,0.2040727967633,0,0,0,"None",0.2107349241961,0.22900801251464,0.18085314234236
"aba","2",0.316227766016839,0.2292752483037,0,0,0,"None",0.2937240619971,0.2840760769848,0.22717019252195
