name,node_id,arabiensis,funestus,gambiae,darlingi,minimus,maculatus
aba,393220,0.1408577412366867,0.40230056643486023,0.45684170722961426,0.0,0.0,0.0
martae,393220,0.17384600639343262,0.4346286356449127,0.3915253281593323,0.0,0.0,0.0
djibo,327684,0.8397423624992371,0.16025765240192413,0.0,0.0,0.0,0.0
kananga,393219,0.0,0.0011006270069628954,0.9988994002342224,0.0,0.0,0.0
moine,458755,0.9218304753303528,0.07816949486732483,0.0,0.0,0.0,0.0
gode,458756,1.0,0.0,0.0,0.0,0.0,0.0
karen,589828,0.0,0.0,0.0,0.0,0.6,0.4
bajonapo,196611,0.0,0.0,0.0,1.0,0.0,0.0
