site,burnin_id,intervention_id
bajonapo,0911f27b-7877-e811-a2c0-c4346bcb7275,c42fbd67-ba77-e811-a2c0-c4346bcb7275
karen,8c0ccb25-c973-e811-a2c0-c4346bcb7275,6dca3c96-3c77-e811-a2c0-c4346bcb7275
moine,8c2b7a26-3977-e811-a2c0-c4346bcb7275,47944625-7377-e811-a2c0-c4346bcb7275
