name,lat,lon,cluster,country,birth_rate_country,continent,nodeid_old_climate,node_id
aba,5.43,7.58,1,Nigeria,Nigeria,Africa,1475161276,1
kasama,-10.21,31.1957,3,Zambia,Zambia,Africa,1660888423,2
djibo,14.1,-1.65,4,Burkina_Faso,Burkina Faso,Africa,1402613965,3
kananga,-6.188,21.57,2,Democratic_Republic_of_the_Congo,"Congo, Dem. Rep.",Africa,1585194826,4
moine,-24.896,32.5,6,Mozambique,Mozambique,Africa,1671175813,5
gode,5.91,43.6,5,Ethiopia,Ethiopia,Africa,1758473462,6
karen,17.4116,98.0511,1,Myanmar,Myanmar,Asia,2186687066,7
bajonapo,-0.7292,-75.6459,1,Ecuador,Ecuador,Americas,820652505,8
